Broker,Year,Period_Type,Period_Number,Market,Submarket,Secondary Submarket,Property Type,Inventory SF,Vacancy Q,Net Absorption Q,Under Construction Q,Asking Rent Q,Delivered Q,Leasing Activity Q
CBRE,2022,H,2,Tulsa,Northeast,,Industrial,38573561,0.023,92422,684616,5.29,57600,
CBRE,2022,H,2,Tulsa,Northwest,,Industrial,6073873,0.018,-2082,0,4.9,,
CBRE,2022,H,2,Tulsa,South,,Industrial,2950615,0.024,-3964,0,6.61,35000,
CBRE,2022,H,2,Tulsa,South Central,,Industrial,13460211,0.041,111766,0,5.8,,
CBRE,2022,H,2,Tulsa,Southeast,,Industrial,16188706,0.02,-8159,169400,6.44,,
CBRE,2022,H,2,Tulsa,Southwest,,Industrial,17960095,0.022,-95951,0,5.05,,
CBRE,2022,H,2,Tulsa,Outlying Market Area,,Industrial,8392603,0.046,7400,0,2.73,,
CBRE,2022,H,2,Tulsa,Tulsa,,Industrial,130039633,0.029,167811,854016,5.17,124100,
CBRE,2022,Q,1,Boston,Urban,,Industrial,14512313,0.027,81978,,20.42,,
CBRE,2022,Q,1,Boston,Metro North,,Industrial,87165464,0.022,137391,,14,,
CBRE,2022,Q,1,Boston,Metro North,Close-In Suburbs North,Industrial,17858057,0.025,-5010,,16.48,,
CBRE,2022,Q,1,Boston,Metro North,Route 128-North,Industrial,32336624,0.017,234099,,14.19,,
CBRE,2022,Q,1,Boston,Metro North,Route 495-Northeast,Industrial,19244348,0.009,-114548,,11.96,,
CBRE,2022,Q,1,Boston,Metro North,Route 3-North,Industrial,17726435,0.04,22850,,12.62,,
CBRE,2022,Q,1,Boston,Metro South,,Industrial,110428731,0.018,1841373,,8.97,,
CBRE,2022,Q,1,Boston,Metro South,Route 128-South,Industrial,44201952,0.024,344262,,11.31,,
CBRE,2022,Q,1,Boston,Metro South,Route 495-South,Industrial,66226779,0.014,1497111,,7.81,,
CBRE,2022,Q,1,Boston,Metro West,,Industrial,54771404,0.012,1120006,,11.24,,
CBRE,2022,Q,1,Boston,Metro West,Route 128-West,Industrial,6588448,0.041,26711,,17.22,,
CBRE,2022,Q,1,Boston,Metro West,Framingham - Natick,Industrial,4691376,0.011,74245,,12.14,,
CBRE,2022,Q,1,Boston,Metro West,Route 495-Route 2 West,Industrial,20201571,0.004,669450,,9.31,,
CBRE,2022,Q,1,Boston,Metro West,Route 495-Mass Pike West,Industrial,23290009,0.012,349600,,8.68,,
CBRE,2022,Q,1,Boston,Overall Total Industrial,,Industrial,266877912,0.019,3180748,,11.58,,
CBRE,2022,Q,1,Broward,Central Broward,,Industrial,18730434,0.037,-41902,0,10.76,,
CBRE,2022,Q,1,Broward,Coral Springs,,Industrial,8559835,0.015,9635,131680,10.6,,
CBRE,2022,Q,1,Broward,Northeast Broward,,Industrial,11369487,0.09,302991,374460,10.1,,
CBRE,2022,Q,1,Broward,Pompano/Lauderdale,,Industrial,25305399,0.04,244805,0,10.79,,
CBRE,2022,Q,1,Broward,Southeast Broward,,Industrial,15725243,0.032,56955,699558,12.57,,
