FID,Submarket,Market
457,Beaver County,Pittsburgh
458,Butler County,Pittsburgh
459,Cranberry,Pittsburgh
460,East,Pittsburgh
461,Northeast,Pittsburgh
462,Northwest,Pittsburgh
463,Pittsburgh,Pittsburgh
464,South,Pittsburgh
465,Washington County,Pittsburgh
466,West,Pittsburgh
467,Westmoreland County,Pittsburgh
468,Polk East,Polk County
469,Polk West,Polk County
470,Clark County,Portland
471,Northeast,Portland
472,Northwest,Portland
473,Southeast,Portland
474,Sunset Corridor,Portland
475,Aquidneck Island,Providence
476,Capital Center,Providence
477,East Bay,Providence
478,Empire,Providence
479,Financial,Providence
480,Jewelry,Providence
481,Northern RI,Providence
482,Promenade,Providence
483,Providence,Providence
484,Randall Square,Providence
485,South Main Street,Providence
486,West Bay,Providence
487,Westminster,Providence
488,Cameron Village,Raleigh Durham
489,Cary,Raleigh Durham
490,Downtown Durham,Raleigh Durham
491,Downtown Raleigh,Raleigh Durham
492,Eastern Wake,Raleigh Durham
493,Six Forks/Falls of Neuse Road,Raleigh Durham
494,North Durham,Raleigh Durham
495,Orange County,Raleigh Durham
496,RTP/I-40 Corridor,Raleigh Durham
497,South Durham,Raleigh Durham
498,Southern Wake County,"Raleigh Durham
"
499,U.S. 1/Capital Boulevard,Raleigh Durham
500,U.S. 70/Glenwood Avenue,Raleigh Durham
501,West Raleigh,Raleigh Durham
502,Central/Airport,Reno
503,East Valley,Reno
504,North Valleys,Reno
505,South Reno,Reno
506,Sparks,Reno
507,West Reno,Reno
508,Northeast,Richmond
509,Northwest,Richmond
510,Southeast,Richmond
511,Southwest,Richmond
512,Auburn/Newcastle,Sacramento
513,Davis,Sacramento
514,Downtown/Midtown,Sacramento
515,East Sacramento,Sacramento
516,El Dorado Hills,Sacramento
517,Elk Grove/Laguna/Galt,Sacramento
518,Folsom,Sacramento
519,I-80/Roseville Rd,Sacramento
520,Lincoln,Sacramento
521,McClellan Park,Sacramento
522,Northeast Sacramento,Sacramento
523,Northgate/Natomas,Sacramento
524,Power Inn,Sacramento
525,Rancho Cordova/Hwy 50,Sacramento
526,Richards,Sacramento
527,Roseville/Rocklin,Sacramento
528,South Sacramento,Sacramento
529,West Sacramento,Sacramento
530,Woodland,Sacramento
531,Airport,Salt Lake City
532,Bluffdale,Salt Lake City
533,California Avenue,Salt Lake City
534,Downtown,Salt Lake City
535,Draper,Salt Lake City
536,Murray,Salt Lake City
537,Sandy,Salt Lake City
538,South Salt Lake,Salt Lake City
539,West Jordan,Salt Lake City
540,West Valley,Salt Lake City
541,CBD,San Antonio
542,North Central,San Antonio
543,Northeast,San Antonio
544,Northwest,San Antonio
545,South,San Antonio
546,North County,San Diego
547,South San Diego,San Diego
548,East County,San Diego
549,SouthWest Riverside County,San Diego
550,Central San Diego,San Diego
551,Brisbane,San Francisco Peninsula
552,Burlingame,San Francisco Peninsula
553,Daly City,San Francisco Peninsula
554,Foster City,San Francisco Peninsula
555,Menlo Park,San Francisco Peninsula
556,Millbrae,San Francisco Peninsula
557,Palo Alto/East PA,San Francisco Peninsula
558,Redwood City,San Francisco Peninsula
559,San Bruno,San Francisco Peninsula
560,San Mateo,San Francisco Peninsula
561,South San Francisco,San Francisco Peninsula
562,Cupertino,Silicon Valley
563,Fremont/Newark,Silicon Valley
564,Milpitas,Silicon Valley
565,Mountain View/Los Altos,Silicon Valley
